"States","year","crimeRate","recidivismRate","decriminalizedMarijuana","legalizedMedicinalMarijuana","legalizedRecreationalMarijuana","population","alcoholism","medianHouseholdIncome","unemploymentRate","Percent of Population Male","Percent of Population Female","Percent of Population with High School Diploma","Percent of Population with a Bachelors Degree or more","Percent population White","Percent population Black or African American","Percent population Hispanic","Percent of Population Asian","Percent of Population American Indian/Alaska Native","Percent of Population Native Hawaiian or other Pacific Islander","Percent Multiple Races","Percent of Population 0-18","Percent of Population 19-25","Percent of Population 26-34","Percent of Population 35-54","Percent of Population 55-64","Percent of Population 65+"
"Florida",2017,2920.99199821212,24.1,"no","yes","no",20976812,16.3,53681,4.6,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2016,3110.44577592167,25.4,"no","yes","no",20656589,16.8,51176,5,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2015,3279.3174621537,24.7,"no","no","no",20244914,16.1,48825,5.8,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2014,3391.60864982056,24.5,"no","no","no",19905569,16.6,46140,6.8,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2013,3567.10156282724,25.4,"no","no","no",19600311,18,47886,8,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2012,3763.1822658635,25.2,"no","no","no",19320749,NA,NA,NA,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2011,4032.00626843925,26.2,"no","no","no",19082262,13.6,45105,10.5,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2010,4092.67922219115,25.7,"no","no","no",18838613,13.2,44066,11.5,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2009,4453.29798534025,26.3,"No","No","No",18537969,14,45631,10.5,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2008,4829.67360928486,27.7,"No","No","No",18328340,14.1,44857,6.2,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2007,4811.87500489693,30.5,"No","No","No",18251243,NA,NA,NA,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Georgia",2020,2407.44715904746,NA,"no","no","no",10710017,17.2,61224,12.3,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2019,3100.13530271866,NA,"no","no","no",10628020,15.5,62000,3.8,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2018,2981.81042553841,49.9,"no","no","no",10511131,14,55821,4.3,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2017,3214.8970691118,55.1,"no","no","no",10413055,14.7,57016,5.1,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2016,3370.03884184215,57,"no","no","no",10313620,16.9,53527,5.7,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2015,3479.65634834526,56,"no","no","no",10199398,15.6,50768,6.4,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2014,3744.63758619774,55.6,"no","no","no",10097132,14.2,49555,7.4,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2013,3775.24860779535,52.4,"no","no","no",9994759,15.8,47439,8.6,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2012,3803.56458873179,52.7,"no","no","no",9915646,NA,NA,NA,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2011,4015.27241894489,50.7,"no","no","no",9812460,11.5,45973,9.8,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2010,4041.5018002695,54.5,"no","no","no",9712157,12.4,44117,10.2,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2009,4092.69879342299,26.4,"No","No","No",9829211,13.2,43340,9.6,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2008,4494.43016458003,26.8,"No","No","No",9685744,12.4,46227,6.2,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Georgia",2007,4394.2167159957,34.8,"No","No","No",9544750,NA,NA,NA,47.9,52.1,87,31,52,31.3,9.8,4.1,"0.2","0.1",2.5,0.248,0.091,0.127,0.276,0.119,0.139
"Hawaii",2020,2665.51812856519,NA,"yes","yes","no",1407006,18.5,83173,22.4,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2019,3133.76165129643,NA,"no","yes","no",1415615,20.5,83100,2.8,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2018,3142.98324713694,NA,"no","yes","no",1420593,20.8,80108,2.2,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2017,3087.27056465967,NA,"no","yes","no",1424203,19.9,73575,2.6,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2016,3206.09960362096,53.8,"no","yes","no",1428683,20.3,72133,3,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2015,3416.38009979024,61.7,"no","yes","no",1431603,21.1,64514,3.8,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2014,3477.11716963902,44.3,"no","yes","no",1420257,19.6,71223,4.5,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2013,3467.10083201619,50.5,"no","yes","no",1408987,19.5,61408,4.9,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2012,3366.47267443115,48.5,"no","yes","no",1390090,NA,NA,NA,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2011,3435.0195083334,51.5,"no","yes","no",1378129,17.5,59047,6.7,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2010,3613.86839416471,50.8,"no","yes","no",1363359,17.4,59539,6.6,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2009,3935.98408867353,49.1,"No","Yes","No",1295178,18.1,55649,6.8,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2008,3843.81904024071,49.3,"No","Yes","No",1288198,18.3,61521,3.9,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Hawaii",2007,4498.1720259189,50.9,"No","Yes","No",1283388,NA,NA,NA,49.7,50.3,92,33,20.4,1.2,10.3,39.4,"0.1","10.199999999999999",18.4,0.228,0.076,0.122,0.245,0.12,0.209
"Iowa",2020,2001.73159297387,39.6,"no","no","no",3163561,22.6,61836,10.5,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2019,2137.36186525113,38.8,"no","no","no",3159596,23.7,61700,2.5,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2018,2074.78328587336,37.8,"no","no","no",3148618,22.2,68718,2.7,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2017,2375.91045022056,35.4,"no","no","no",3143637,22.5,63481,3.2,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2016,2397.35357819187,34.2,"no","no","no",3130869,21.3,59094,3.6,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2015,2348.08041135209,31.9,"no","no","no",3121997,22.7,60855,3.8,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2014,2366.43993000761,29.8,"no","no","no",3109481,23,57810,4.4,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2013,2471.23457600569,30.3,"no","no","no",3092341,23,54855,4.9,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2012,2553.59362921901,30.7,"no","no","no",3075039,NA,NA,NA,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2011,2608.46833504292,31.5,"no","no","no",3064097,17.7,50219,5.9,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2010,2522.16082738127,31.8,"no","no","no",3050202,19.4,49016,6.1,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2009,2587.82335324563,35.5,"No","No","No",3007856,20.1,50721,6,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2008,2704.66319517877,35.6,"No","No","No",3002555,20.3,50142,4.1,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Iowa",2007,2910.22962832567,33.9,"No","No","No",2988046,NA,NA,NA,49.9,50.1,92,29,85.3,3.9,6.3,2.3,"0.3","<1.0",1.9,0.247,0.091,0.124,0.245,0.129,0.165
"Idaho",2020,1354.47062886957,NA,"no","no","no",1826913,18.4,58915,11.8,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2019,1475.97062144366,NA,"no","no","no",1789060,16.8,61000,3,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2018,1714.78907031903,35.7,"no","no","no",1750536,16.7,58728,2.9,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2017,1900.51335036744,33.9,"no","no","no",1718904,17.8,60208,3.4,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2016,1978.12414807866,39.5,"no","no","no",1680026,15.6,56564,3.8,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2015,1966.6293165411,NA,"no","no","no",1652828,16.4,51624,3.9,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2014,2072.3559859702,NA,"no","no","no",1634806,16.4,53438,5.2,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2013,2089.54002342447,35,"no","no","no",1612843,15.9,51767,7,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2012,2204.38834537695,33.2,"no","no","no",1595590,NA,NA,NA,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2011,2277.95653843045,35,"no","no","no",1583744,13.1,47459,8.7,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2010,2221.37073213579,35,"no","no","no",1571102,13.1,47050,9.3,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2009,2217.03828629947,NA,"No","No","No",1545801,14,46778,8,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2008,29277.484945689,NA,"No","No","No",1523816,14.8,47420,4.9,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Idaho",2007,2485.92438852289,33.6,"No","No","No",1499402,NA,NA,NA,50,50,91,28,81.6,0.7,12.9,1.2,"0.9","N/A",2.6,0.259,0.102,0.121,0.239,0.125,0.153
"Illinois",2020,1985.29020387638,NA,"yes","yes","yes",12587530,21.2,68428,17.4,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2019,2270.73193317732,NA,"yes","yes","no",12667017,20.8,69200,4.5,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2018,2350.23446776333,38.5,"yes","yes","no",12723071,21.8,70145,4.4,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2017,2431.41118750252,41.3,"yes","yes","no",12786196,21.4,64609,5.1,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2016,2487.66606579168,41.6,"yes","yes","no",12835726,21.7,61386,6.2,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2015,2388.93899212301,39.9,"no","yes","no",12839047,21.8,60413,6.1,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2014,2464.03775010598,43,"no","yes","no",12882189,23.5,54916,8.1,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2013,2699.68268232423,43.9,"no","yes","no",12890552,23.3,57196,9.3,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2012,3001.68042254887,46.9,"no","no","no",12868192,NA,NA,NA,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2011,3102.63370553336,48.3,"no","no","no",12859752,17.7,50637,9.8,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2010,3163.03249187431,NA,"no","no","no",12841980,18.5,50728,10.3,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2009,3234.07259986883,NA,"No","No","No",12910409,19.4,52870,10.1,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2008,3457.99187276766,NA,"No","No","No",12901563,19.4,53254,6.5,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Illinois",2007,3468.96195213587,51.7,"No","No","No",12852548,NA,NA,NA,49.4,50.6,89,35,60.9,13.6,17.6,5.6,"0.1","<1.0",2.2,0.235,0.095,0.121,0.253,0.13,0.166
"Indiana",2020,2140.85871507914,38.16,"no","no","no",6754953,16.6,58235,16.8,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2019,2319.16161170463,36.95,"no","no","no",6731010,17.4,57600,3.4,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2018,2568.24848103136,33.78,"no","no","no",6695497,17.5,59892,3.3,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2017,2781.33212173664,33.87,"no","no","no",6660082,18.7,58873,3.7,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2016,2939.03820119575,36.9,"no","no","no",6634007,17.2,56094,4.6,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2015,2982.88099627871,38.17,"no","no","no",6612768,15.8,51983,5.2,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2014,3016.33251893032,37.6,"no","no","no",6597880,16,48060,6.3,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2013,3212.72592487299,35.8,"no","no","no",6570713,17,50553,8.2,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2012,3373.28470114176,36.1,"no","no","no",6537782,NA,NA,NA,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2011,3493.28834702479,37.9,"no","no","no",6516353,13.8,44445,9,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2010,3393.46521797141,39.3,"no","no","no",6490622,14.9,46139,10.2,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2009,3449.48002627386,38.4,"No","No","No",6423113,15.8,44305,10.1,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2008,3669.52536635976,37.4,"No","No","No",6376792,15.8,46520,5.9,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Indiana",2007,3730.18470868703,37.8,"No","No","No",6345289,NA,NA,NA,49.1,50.9,89,27,78.6,9.2,7.2,2.4,"0.2","N/A",2.3,0.251,0.093,0.104,0.254,0.134,0.164
"Kansas",2020,2624.12893107123,36,"no","no","no",2913805,18.3,61091,12.2,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2019,2682.00443927921,NA,"no","no","no",2912635,16.7,62100,3.2,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2018,3101.98776585093,NA,"no","no","no",2911359,17.9,63938,3.3,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2017,3127.81612875852,NA,"no","no","no",2910689,17,57872,3.8,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2016,3231.3167896205,34.7,"no","no","no",2907731,16.3,56810,3.9,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2015,3149.32186474037,34.19,"no","no","no",2906721,16.7,54865,4.4,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2014,3109.86330093261,33.91,"no","no","no",2902507,16,53444,4.7,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2013,3302.43687325199,35.97,"no","no","no",2895801,16.7,51485,5.5,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2012,3512.79095639492,NA,"no","no","no",2885398,NA,NA,NA,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2011,3444.27543891309,NA,"no","no","no",2870386,14.7,46147,6.7,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2010,3487.44361509725,NA,"no","no","no",2859143,14.3,46054,7,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2009,3607.91514811368,NA,"No","No","No",2818747,14.1,44717,6.7,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2008,3787.82742010196,NA,"No","No","No",2802134,15,47877,4.4,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kansas",2007,4131.34452234639,42.9,"No","No","No",2775997,NA,NA,NA,49.6,50.4,91,33,75.7,5.5,12.2,2.8,"0.6","N/A",3.2,0.25,0.089,0.133,0.253,0.108,0.168
"Kentucky",2020,2038.59466444923,NA,"no","no","no",4477251,16.8,52238,16.5,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2019,2129.95643225198,NA,"no","no","no",4472345,16.1,52300,4.1,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2018,2218.12612120678,NA,"no","no","no",4461153,17.1,54555,4.2,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2017,2384.23897936942,NA,"no","no","no",4453874,15.8,51348,5,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2016,2438.28324481365,49.1,"no","no","no",4436113,16.8,45369,5.1,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2015,2428.05525728702,NA,"no","no","no",4424611,13.8,42387,5.3,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2014,2479.34502359937,NA,"no","no","no",4412617,14.5,42786,7.3,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2013,2584.97225759805,NA,"no","no","no",4399583,16,42158,8,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2012,2800.44660287278,NA,"no","no","no",4379730,NA,NA,NA,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2011,2965.59459596859,NA,"no","no","no",4366814,12.2,39856,9.5,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2010,2801.19055314163,NA,"no","no","no",4347223,11.9,41104,10.4,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2009,2771.36922468188,NA,"No","No","No",4314113,10.1,42664,10.5,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2008,2880.13454369566,NA,"No","No","No",4269245,8.4,41148,6.4,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Kentucky",2007,2813.31442795594,41,"No","No","No",4241474,NA,NA,NA,49.1,50.9,86,24,84.5,8,3.7,1.6,"0.1","N/A",2,0.235,0.082,0.134,0.232,0.144,0.173
"Louisiana",2020,3523.82764753672,NA,"no","yes","no",4645318,20.4,50800,13.5,48.2,51.8,85,24,58.8,31.9,5.2,1.7,"0.5","N/A",1.9,0.251,0.089,0.121,0.243,0.131,0.165
"Louisiana",2019,3746.03528981159,NA,"no","yes","no",4658285,18.6,51100,4.7,48.2,51.8,85,24,58.8,31.9,5.2,1.7,"0.5","N/A",1.9,0.251,0.089,0.121,0.243,0.131,0.165
"Louisiana",2018,3826.64941229996,NA,"no","yes","no",4659690,19.6,49973,4.8,48.2,51.8,85,24,58.8,31.9,5.2,1.7,"0.5","N/A",1.9,0.251,0.089,0.121,0.243,0.131,0.165
"Louisiana",2017,3923.46693876747,33.6,"no","yes","no",4670818,18.6,43903,5.7,48.2,51.8,85,24,58.8,31.9,5.2,1.7,"0.5","N/A",1.9,0.251,0.089,0.121,0.243,0.131,0.165
"Louisiana",2016,3862.18387476134,35.6,"no","yes","no",4686157,18.9,42196,6.1,48.2,51.8,85,24,58.8,31.9,5.2,1.7,"0.5","N/A",1.9,0.251,0.089,0.121,0.243,0.131,0.165
